iter	TotalF1	MultiClass
332	0.8308049575	0.6175804333
333	0.8311128487	0.6168231745
334	0.8316423055	0.6164384862
335	0.8316423055	0.6161658091
336	0.8318086327	0.6156863589
337	0.8317756288	0.6151365987
338	0.831913942	0.6140314583
339	0.8315600986	0.6135201134
340	0.8321596679	0.6129930915
341	0.8325743927	0.6123759027
342	0.8326384777	0.6113635649
343	0.8328874664	0.6111797948
344	0.833166126	0.6109620434
345	0.833166126	0.6107170906
346	0.833166126	0.6105849158
347	0.8334017201	0.6101391209
348	0.8336573231	0.6096542332
349	0.8337293468	0.6088771879
350	0.8339365081	0.6087045182
351	0.8339365081	0.6084116757
352	0.8339078019	0.6080967511
353	0.8341156931	0.6078737409
354	0.8343747397	0.6074828042
355	0.8348776352	0.6065194529
356	0.835182749	0.6063377229
357	0.8352226752	0.6060416622
358	0.8349956042	0.6057103091
359	0.8351344156	0.6054124038
360	0.8350862567	0.6047289393
361	0.8355833183	0.6040876267
362	0.8360123729	0.6032767094
363	0.8361892669	0.6029936322
364	0.8362323468	0.602738661
365	0.836340122	0.6025396032
366	0.8369675644	0.6016454703
367	0.8369675644	0.6015483791
368	0.8372368603	0.6007647857
369	0.8372769012	0.600464933
370	0.8375299695	0.6000711108
371	0.8371211838	0.5994916336
372	0.8370278829	0.5989998541
373	0.8370278829	0.5988747418
374	0.8374704327	0.5983077112
375	0.8376207967	0.5981107324
376	0.8379241833	0.5977991342
377	0.8381211296	0.5972290285
378	0.8388576353	0.5963312606
379	0.8388576353	0.5961599369
380	0.8379605457	0.5957656601
381	0.8385268646	0.5951371638
382	0.838933009	0.5948095653
383	0.839033042	0.5943485045
384	0.8397352708	0.593776421
385	0.8401988795	0.5933879836
386	0.8402139382	0.5929070388
387	0.8403377907	0.5925785413
388	0.8395750616	0.5922231008
389	0.83968921	0.5917523663
390	0.8401485684	0.5915970596
391	0.8407676984	0.5912450163
392	0.8407676984	0.5910829668
393	0.8417192188	0.5900827184
394	0.8419364401	0.5896631385
395	0.8416975736	0.5890368995
396	0.842750028	0.5879728339
397	0.8423007189	0.5876942407
398	0.8429883889	0.5874031107
399	0.8432357718	0.5873040798
400	0.8432350832	0.5868754484
401	0.8429143876	0.5865246675
402	0.8432476326	0.5862815265
403	0.8439047647	0.5855128547
404	0.8440025238	0.5852375607
405	0.8443832308	0.5850562675
406	0.8444198757	0.5845262584
407	0.8444221776	0.5843489999
408	0.8446133904	0.5839722845
409	0.8449582847	0.5831370656
410	0.8448628284	0.5830354753
411	0.8450444728	0.582871497
412	0.8450184179	0.5825165515
413	0.845089785	0.5823293106
414	0.8462067925	0.5818473488
415	0.8461371065	0.581671067
416	0.8464507309	0.5814982307
417	0.8460640905	0.5805767174
418	0.8463837285	0.5801897729
419	0.8463837285	0.5801021936
420	0.8462778022	0.5796419119
421	0.8463810385	0.5794013624
422	0.8463456116	0.5792120503
423	0.8465180964	0.5789524213
424	0.8465815765	0.5785348474
425	0.8467794982	0.5783929834
426	0.8468950705	0.5775181618
427	0.846440609	0.5766264686
428	0.8466442391	0.5764584317
429	0.8469037725	0.5760625278
430	0.8471501411	0.5754469678
431	0.8471261792	0.5750031677
432	0.8474006895	0.5742291687
433	0.8475590625	0.5741230219
434	0.8478438106	0.5737930087
435	0.8477353801	0.5735701839
436	0.848354886	0.5732888523
437	0.848768225	0.573001031
438	0.8485854074	0.5726837851
439	0.8487223963	0.5720164982
440	0.8485593008	0.5717539729
441	0.8485254589	0.5716138337
442	0.8491964796	0.5708819916
443	0.8494206837	0.5705111459
444	0.8494206837	0.5702830733
445	0.84978485	0.5697224295
446	0.8498049987	0.5694911625
447	0.850364545	0.5683522998
448	0.850364545	0.5681549203
449	0.8504052431	0.5680313071
450	0.8511791989	0.5670464574
451	0.8509197248	0.5666195559
452	0.851433945	0.5660492359
453	0.8515762177	0.5658354085
454	0.8515762177	0.5656579267
455	0.852560976	0.5647646079
456	0.8521507902	0.5644879003
457	0.8523582332	0.5643120007
458	0.8525993477	0.5637554388
459	0.852598028	0.5635059138
460	0.8524810845	0.562962905
461	0.8526994573	0.562411167
462	0.8536450452	0.5617146104
463	0.8539360319	0.5616012145
464	0.8541467562	0.5603879558
465	0.8537317969	0.559938588
466	0.8539115186	0.5595224415
467	0.853952014	0.5592993688
468	0.8539913914	0.5590931923
469	0.8541913666	0.558743411
470	0.8542255601	0.5586122838
471	0.8542255601	0.5585045751
472	0.8545633159	0.5580720776
473	0.8543438406	0.5578031029
474	0.8542825096	0.5575563454
475	0.8542489454	0.5573446338
476	0.8542075461	0.557226674
477	0.8548308612	0.5565654966
478	0.8549230857	0.5559195797
479	0.8549278162	0.5558028631
480	0.8548228599	0.555689549
481	0.8548228599	0.5555806479
482	0.8548228599	0.555431333
483	0.8547586856	0.5547299711
484	0.8555747158	0.5542155056
